position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,effective_temperature_snyder,flowgofluxsnyderheat,flowgofluxforcedconvectionheat,heat_budget,channel_width,crystal_fraction,core_temperature,viscosity,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
0.0,903.7895731629515,0.95,219.60228309553284,2484728.714744338,47974.257567972694,857.0805666643653,0,0,356750.7960838971,2889453.768396208,70.0,0.25,1325.0,39821.584325393116,2472.2,0.7002610236883898,773.15,0.8046062276429704,4.769985738577066e-06,-0.0009262796630182752,0.005149617258176763,0.03891825270281485,0.0174532925199433,700.0789558222302,14.281999999999988,125.03810448034304,6045.0090674023695
10.0,903.7590008531029,0.95,219.64206725122378,2485728.551281628,47999.250799333175,857.0577822585293,0,0,356928.7168808094,2890656.518961771,70.0376436013589,0.2500476998573858,1324.99073720337,39842.30544326383,2472.2,0.6998846497062362,773.15,0.8046546823579176,4.771971270620372e-06,-0.0009266652318758739,0.005149617258176763,0.03891352627238365,0.017453292519943295,700.0789558222302,14.281999999999988,125.10610949821059,6045.009067402369
20.0,903.7284252561656,0.95,219.68189273186522,2486729.4117549527,48024.26962556255,857.0349973416548,0,0,357106.8216514511,2891860.5030319667,70.07532630320961,0.250095419570092,1324.9814705510512,39863.0475246611,2472.2,0.6995082897807662,773.15,0.8047031381810543,4.773958838965338e-06,-0.0009270511961612409,0.005149617258176763,0.038908799805957794,0.017453292519943295,700.0789558222302,14.281999999999988,125.17416684251613,6045.009067402369
30.0,903.6978463702551,0.95,219.7217596024935,2487731.2977867173,48049.31408693794,857.0122119129521,0,0,357285.1106876242,2893065.7225612793,70.11304816758626,0.2501431591584817,1324.9722000390896,39883.810602207945,2472.2,0.6991319439004048,773.15,0.80475159511372,4.775948446838479e-06,-0.0009274375565009304,0.005149617258176763,0.03890407330336422,0.017453292519943295,700.0789558222302,14.281999999999988,125.24227657620379,6045.009067402369
40.0,903.6672641934848,0.95,219.76166792828488,2488734.211002807,48074.384223822395,856.9894259716305,0,0,357463.5842817561,2894272.1795083857,70.15080925665596,0.25019091864295007,1324.9629256635246,39904.594708596305,2472.2,0.6987556120535615,773.15,0.8048000531572559,4.777940097473228e-06,-0.0009278243135228406,0.005149617258176763,0.03889934676442968,0.0174532925199433,700.0789558222302,14.281999999999988,125.31043876232702,6045.0090674023695
50.0,903.6366787239643,0.95,219.8016177745504,2489738.1530326037,48099.48007666555,856.9666395168971,0,0,357642.2427269047,2895479.875836174,70.18860963271995,0.2502386980439248,1324.9536474203894,39925.39987658762,2472.2,0.6983792942286231,773.15,0.8048485123130071,4.779933794109973e-06,-0.0009282114678562193,0.005149617258176763,0.03889462018898044,0.0174532925199433,700.0789558222302,14.281999999999988,125.37865346404874,6045.0090674023695
60.0,903.6060899598015,0.95,219.84160920673858,2490743.125508956,48124.60168600275,856.943852547958,0,0,357821.08631675236,2896688.813511711,70.22644935821224,0.25028649738186587,1324.9443653057108,39946.22613901211,2472.2,0.698002990413969,773.15,0.8048969725823195,4.781929539995999e-06,-0.0009285990201316544,0.005149617258176763,0.03888989357684257,0.0174532925199433,700.0789558222302,14.281999999999988,125.44692074464147,6045.0090674023695
70.0,903.5754978991005,0.95,219.8816422904386,2491749.1300682267,48149.74909245629,856.921065064018,0,0,358000.1153456145,2897898.9945062976,70.26432849570146,0.25033431667726586,1324.9350793155095,39967.073528769746,2472.2,0.697626700597958,773.15,0.8049454339665423,4.783927338385582e-06,-0.0009289869709810909,0.005149617258176763,0.03888516692784176,0.0174532925199433,700.0789558222302,14.281999999999988,125.51524066748793,6045.0090674023695
80.0,903.5449025399637,0.95,219.92171709137403,2492756.1683502537,48174.92233673448,856.8982770642805,0,0,358179.3301084334,2899110.4207954216,70.30224710788958,0.2503821559506497,1324.9257894457996,39987.94207882951,2472.2,0.6972504247689442,773.15,0.8049938964670253,4.785927192539907e-06,-0.000929375321037816,0.005149617258176763,0.03888044024180346,0.017453292519943295,700.0789558222302,14.281999999999988,125.58361329608074,6045.009067402369
90.0,903.5143038804902,0.95,219.9618336754088,2493764.2419984275,48200.12145963342,856.875488547947,0,0,358358.73090079,2900323.094358851,70.34020525761443,0.25043001522257513,1324.9164956925893,40008.831822230844,2472.2,0.6968741629152553,773.15,0.8050423600851224,4.787929105727229e-06,-0.0009297640709364891,0.005149617258176763,0.038875713518552756,0.017453292519943295,700.0789558222302,14.281999999999988,125.65203869402323,6045.009067402369
100.0,903.4837019187763,0.95,220.00199210854578,2494773.3526596287,48225.34650203571,856.8526995142186,0,0,358538.3180188961,2901537.0171805606,70.37820300784789,0.2504778945136324,1324.90719805188,40029.742792082565,2472.2,0.6964979150252139,773.15,0.8050908248221884,4.789933081222743e-06,-0.0009301532213131181,0.005149617258176763,0.03887098675791439,0.017453292519943295,700.0789558222302,14.281999999999988,125.72051692502933,6045.009067402369
110.0,903.4530966529157,0.95,220.04219245692678,2495783.5019843057,48250.59750491198,856.8299099622938,0,0,358718.0917596041,2902752.1912488216,70.41624042169818,0.2505257938444446,1324.8978965196668,40050.675021564144,2472.2,0.6961216810871192,773.15,0.8051392906795812,4.791939122308741e-06,-0.0009305427728050882,0.005149617258176763,0.03886625995971283,0.017453292519943295,700.0789558222302,14.281999999999988,125.78904805292397,6045.009067402369
