position,flowgofluxconductionheat,effective_temperature_snyder,characteristic_surface_temperature,effective_radiation_temperature,flowgofluxforcedconvectionheat,flowgofluxradiationheat,flowgofluxsnyderheat,heat_budget,channel_width,crystal_fraction,core_temperature,viscosity,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
0.0,46357.80423449161,852.3658061233587,0,0,0,0,1224666.9848102087,1271024.7890447003,70.0,0.25,1325.0,39821.584325393116,2472.2,0.6765957527991567,773.15,0.8076585987049686,2.098459699043456e-06,-0.0004074981875034382,0.005149617258176763,0.01654269257629084,0.0174532925199433,700.0059658460069,14.779999999999987,125.03810448034304,5656.3591141915995
10.0,46368.45243221437,852.3564871530345,0,0,0,0,1224892.378714376,1271260.8311465902,70.01659573119237,0.25002098459699046,1324.995925018125,39830.69864768913,2472.2,0.676435382230978,773.15,0.8076793229177908,2.0988494041399758e-06,-0.00040757386402015425,0.005149617258176763,0.016541842949749783,0.017453292519943295,700.0059658460069,14.779999999999987,125.06801896910194,5656.359114191599
20.0,46379.10546222918,852.3471681068211,0,0,0,0,1225117.877647397,1271496.9831096262,70.03319910036018,0.2500419730910319,1324.9918492794848,39839.81704880177,2472.2,0.6762750139126144,773.15,0.8077000473716401,2.0992392906170548e-06,-0.0004076495757590141,0.005149617258176763,0.016540993351073913,0.017453292519943295,700.0059658460069,14.779999999999987,125.0979436598493,5656.359114191599
30.0,46389.76332792789,852.3378489846345,0,0,0,0,1225343.4816835122,1271733.24501144,70.04981011290744,0.250062965483938,1324.9877727837272,39848.93953155896,2472.2,0.6761146478427651,773.15,0.8077207720666764,2.0996293586028636e-06,-0.0004077253227449069,0.005149617258176763,0.01654014378025503,0.017453292519943295,700.0059658460069,14.779999999999987,125.12787855809191,5656.359114191599
40.0,46400.42603270624,852.3285297863915,0,0,0,0,1225569.1908970529,1271969.616929759,70.06642877424437,0.25008396177752407,1324.9836955304997,39858.066098791955,2472.2,0.6759542840201183,773.15,0.80774149700306,2.10001960822573e-06,-0.0004078011050027527,0.005149617258176763,0.016539294237284924,0.0174532925199433,700.0059658460069,14.779999999999987,125.15782366934103,5656.3591141915995
50.0,46411.093579962544,852.319210512008,0,0,0,0,1225795.0053624017,1272206.0989423643,70.0830550897854,0.2501049619736063,1324.9796175194497,39867.19675333404,2472.2,0.6757939224433716,773.15,0.8077622221809507,2.100410039614069e-06,-0.00040787692255748835,0.005149617258176763,0.01653844472215538,0.0174532925199433,700.0059658460069,14.779999999999987,125.187778999112,5656.3591141915995
60.0,46421.76597309875,852.3098911614004,0,0,0,0,1226020.9251540236,1272442.6911271224,70.09968906495067,0.25012596607400245,1324.9755387502241,39876.33149802153,2472.2,0.6756335631112161,773.15,0.8077829476005091,2.10080065289644e-06,-0.0004079527754340785,0.005149617258176763,0.016537595234858177,0.0174532925199433,700.0059658460069,14.779999999999987,125.21774455292449,5656.3591141915995
70.0,46432.44321551971,852.3005717344851,0,0,0,0,1226246.9503464487,1272679.3935619683,70.11633070516505,0.25014697408053144,1324.9714592224698,39885.47033569315,2472.2,0.6754732060223471,773.15,0.8078036732618948,2.1011914482015127e-06,-0.0004080286636575095,0.005149617258176763,0.016536745775385112,0.0174532925199433,700.0059658460069,14.779999999999987,125.2477203363026,5656.3591141915995
80.0,46443.125310633666,852.2912522311781,0,0,0,0,1226473.0810142788,1272916.2063249124,70.13298001585882,0.25016798599501344,1324.9673789358333,39894.61326919039,2472.2,0.675312851175457,773.15,0.8078243991652685,2.101582425658082e-06,-0.0004081045872527919,0.005149617258176763,0.01653589634372796,0.017453292519943295,700.0059658460069,14.779999999999987,125.27770635477451,5656.359114191599
90.0,46453.81226185227,852.2819326513954,0,0,0,0,1226699.3172321923,1273153.1294940445,70.14963700246771,0.25018900181927,1324.9632978899608,39903.76030135758,2472.2,0.6751524985692354,773.15,0.8078451253107909,2.1019735853950745e-06,-0.0004081805462449619,0.005149617258176763,0.016535046939878482,0.017453292519943295,700.0059658460069,14.779999999999987,125.30770261387285,5656.359114191599
